;region_id;month;gdp_region;fpm;idhm;pop;unemployment;itbi;treasure;iptu
21538;2301901;47;153272000.0;6179023.91;;;;21990.57;35255136.53;36610.91
24660;2301901;59;167947000.0;6784331.83;;;;22129.0;41631786.0;31429.0
31106;2301901;71;183931000.0;9276824.89;;;;29105.0;45390006.0;26360.0
36837;2301901;83;220323000.0;10285435.5;;;;33670.91;52199547.04;39109.33
44329;2301901;95;237118000.0;11796663.99;;;;60852.41;61921703.0;73005.48
46503;2301901;107;298219000.0;13188560.59;;;;108181.1;80317817.08;89120.8
53141;2301901;119;354358000.0;13537350.21;;;;182239.62;86779801.18;77700.05
59876;2301901;131;464715000.0;14485983.04;0.6829999999999999;55323.0;;447992.74;96837366.14;80164.64
66345;2301901;143;508696000.0;17803605.02;;;;486872.56;117268049.68;67105.43
67225;2301901;155;590900000.0;18314414.82;;;8.4;216425.08;122264098.15;63950.7
74394;2301901;167;578694000.0;19651173.16;;;7.3;;4077608.95;98796.72
80154;2301901;179;716792000.0;21266919.87;;;6.5;;6958972.57;65919.1
88488;2301901;191;;22655418.71;;;9.2;;5062641.06;93830.84
93160;2301901;203;;4365976.92;;59343.0;12.1;;5932735.26;91964.45
2905;2303709;11;;15727054.0;0.555;250479.0;;344214.21;52128608.77;1077993.54
6987;2303709;23;;18194895.44;;;;415362.22;64181708.54;1356081.02
12701;2303709;35;836958000.0;22222242.24;;;;517286.17;82807369.67;1839222.77
21629;2303709;47;973170000.0;24799505.43;;;;423328.62;105247021.15;1630306.45
24667;2303709;59;1113780000.0;26041422.7;;;;446856.65;121931480.6;2961569.42
31254;2303709;71;1232377000.0;32440215.53;;;;904082.21;144909365.92;2033558.46
36857;2303709;83;1532514000.0;36146030.11;;;;1306229.2;186024104.3;3073603.72
